implementation,N,threads,execution_ms,computation_ms,transfer_ms,transfer_bytes,total_ops,performance_mops,sorted_ok
openmp,10000,1,0.1159,0.1159,0.0000,0,161024,1389.6782,true
openmp,10000,2,0.1020,0.1020,0.0000,0,161024,1577.9991,true
openmp,10000,4,0.3772,0.3772,0.0000,0,161024,426.9176,true
openmp,10000,8,0.6311,0.6311,0.0000,0,161024,255.1506,true
openmp,10000,16,0.8469,0.8469,0.0000,0,161024,190.1418,true
openmp,100000,1,0.4599,0.4599,0.0000,0,1601024,3481.1723,true
openmp,100000,2,0.2990,0.2990,0.0000,0,1601024,5355.0091,true
openmp,100000,4,0.3889,0.3889,0.0000,0,1601024,4117.2173,true
openmp,100000,8,0.5369,0.5369,0.0000,0,1601024,2981.8745,true
openmp,100000,16,0.8490,0.8490,0.0000,0,1601024,1885.7572,true
openmp,1000000,1,3.9320,3.9320,0.0000,0,16001024,4069.4372,true
openmp,1000000,2,2.3072,2.3072,0.0000,0,16001024,6935.3270,true
openmp,1000000,4,1.4212,1.4212,0.0000,0,16001024,11258.7081,true
openmp,1000000,8,1.6859,1.6859,0.0000,0,16001024,9491.3250,true
openmp,1000000,16,1.9190,1.9190,0.0000,0,16001024,8338.0742,true
openmp,10000000,1,52.9711,52.9711,0.0000,0,160001024,3020.5329,true
openmp,10000000,2,28.5158,28.5158,0.0000,0,160001024,5610.9573,true
openmp,10000000,4,16.5620,16.5620,0.0000,0,160001024,9660.7396,true
openmp,10000000,8,15.7261,15.7261,0.0000,0,160001024,10174.2410,true
openmp,10000000,16,15.2900,15.2900,0.0000,0,160001024,10464.4078,true
