implementation,N,threads,execution_ms,computation_ms,transfer_ms,transfer_bytes,total_ops,performance_mops,sorted_ok
pthread,10000,1,0.0616,0.0616,0.0000,0,161024,2612.9655,true
pthread,10000,2,0.2327,0.2327,0.0000,0,161024,692.0792,true
pthread,10000,4,0.2424,0.2424,0.0000,0,161024,664.3589,true
pthread,10000,8,0.5615,0.5615,0.0000,0,161024,286.7962,true
pthread,10000,16,0.7198,0.7198,0.0000,0,161024,223.6963,true
pthread,100000,1,0.4709,0.4709,0.0000,0,1601024,3400.1041,true
pthread,100000,2,0.4623,0.4623,0.0000,0,1601024,3463.2310,true
pthread,100000,4,0.3827,0.3827,0.0000,0,1601024,4182.9497,true
pthread,100000,8,0.5840,0.5840,0.0000,0,1601024,2741.4795,true
pthread,100000,16,0.8371,0.8371,0.0000,0,1601024,1912.6228,true
pthread,1000000,1,4.6350,4.6350,0.0000,0,16001024,3452.2166,true
pthread,1000000,2,2.6574,2.6574,0.0000,0,16001024,6021.3647,true
pthread,1000000,4,1.5922,1.5922,0.0000,0,16001024,10049.8402,true
pthread,1000000,8,1.7206,1.7206,0.0000,0,16001024,9299.5417,true
pthread,1000000,16,1.9004,1.9004,0.0000,0,16001024,8419.7437,true
pthread,10000000,1,54.6447,54.6447,0.0000,0,160001024,2928.0263,true
pthread,10000000,2,29.0685,29.0685,0.0000,0,160001024,5504.2752,true
pthread,10000000,4,16.8162,16.8162,0.0000,0,160001024,9514.7143,true
pthread,10000000,8,15.9742,15.9742,0.0000,0,160001024,10016.2358,true
pthread,10000000,16,15.3755,15.3755,0.0000,0,160001024,10406.2600,true
