implementation,N,num_threads,execution_ms,computation_ms,transfer_ms,transfer_bytes,total_ops,performance_mops,sorted_ok
openmp,10000,1,0.043709,0.043709,0,0,201024,4599.14,true
openmp,100000,1,0.709542,0.709542,0,0,2001024,2820.16,true
openmp,1000000,1,8.27292,8.27292,0,0,20001024,2417.65,true
openmp,10000,2,0.073416,0.073416,0,0,201024,2738.15,true
openmp,100000,2,0.441916,0.441916,0,0,2001024,4528.06,true
openmp,1000000,2,4.7925,4.7925,0,0,20001024,4173.4,true
openmp,10000,4,0.090709,0.090709,0,0,201024,2216.14,true
openmp,100000,4,0.391791,0.391791,0,0,2001024,5107.38,true
openmp,1000000,4,3.61208,3.61208,0,0,20001024,5537.25,true
openmp,10000,8,0.275042,0.275042,0,0,201024,730.885,true
openmp,100000,8,0.597,0.597,0,0,2001024,3351.8,true
openmp,1000000,8,3.14717,3.14717,0,0,20001024,6355.25,true
openmp,10000,16,0.639708,0.639708,0,0,201024,314.243,true
openmp,100000,16,0.860292,0.860292,0,0,2001024,2325.98,true
openmp,1000000,16,4.98583,4.98583,0,0,20001024,4011.57,true
