implementation,N,num_threads,execution_ms,computation_ms,transfer_ms,transfer_bytes,total_ops,performance_mops,sorted_ok
stdthread,10000,1,0.179834,0.179834,0,0,201024,1117.83,true
stdthread,100000,1,1.60567,1.60567,0,0,2001024,1246.23,true
stdthread,1000000,1,6.93358,6.93358,0,0,20001024,2884.66,true
stdthread,10000,2,0.381583,0.381583,0,0,201024,526.816,true
stdthread,100000,2,0.855166,0.855166,0,0,2001024,2339.92,true
stdthread,1000000,2,5.34087,5.34087,0,0,20001024,3744.9,true
stdthread,10000,4,0.48125,0.48125,0,0,201024,417.712,true
stdthread,100000,4,0.499583,0.499583,0,0,2001024,4005.39,true
stdthread,1000000,4,1.68396,1.68396,0,0,20001024,11877.4,true
stdthread,10000,8,0.729667,0.729667,0,0,201024,275.501,true
stdthread,100000,8,0.792459,0.792459,0,0,2001024,2525.08,true
stdthread,1000000,8,1.826,1.826,0,0,20001024,10953.5,true
stdthread,10000,16,1.47946,1.47946,0,0,201024,135.877,true
stdthread,100000,16,1.39712,1.39712,0,0,2001024,1432.24,true
stdthread,1000000,16,2.67658,2.67658,0,0,20001024,7472.59,true
